	id	week	value
566	KPI41	13	1.0
567	KPI42	13	0.9274887940270272
568	KPI43	13	1.0
569	KPI44	13	69.0
570	KPI45	13	0.9755868321569358
571	KPI46	13	191.0
572	KPI01	14	0.9818181818181818
573	KPI02	14	0.9761904761904762
574	KPI03	14	0.9836065573770492
575	KPI47	14	0.9
576	KPI48	14	39846.0
577	KPI04	14	71285.0
578	KPI05	14	12609.0
579	KPI06	14	0.93
580	KPI08	14	0.0
581	KPI09	14	7992.0
582	KPI10	14	0.57
583	KPI11	14	12.0
584	KPI12	14	0.9918349908162281
585	KPI13	14	0.6953677131979674
586	KPI15	14	0.0
587	KPI16	14	1.27
588	KPI17	14	1024.0
589	KPI18	14	23233.0
590	KPI19	14	0.8
591	KPI20	14	0.93
592	KPI21	14	0.9630620245345587
593	KPI22	14	0.5875
594	KPI25	14	6573.0
595	KPI26	14	915.0
596	KPI27	14	1.0
597	KPI28	14	0.9886696871568941
598	KPI29	14	232.0
599	KPI30	14	305.0
600	KPI31	14	5636.0
601	KPI32	14	0.97
602	KPI33	14	0.655
603	KPI34	14	0.0
604	KPI35	14	125.0
605	KPI36	14	128.0
606	KPI37	14	1.0
607	KPI38	14	0.12790697674418605
608	KPI39	14	0.9935064935064934
609	KPI40	14	0.8333333333333333
610	KPI41	14	1.0
611	KPI42	14	0.9417867687361531
612	KPI43	14	1.0
613	KPI44	14	71.0
614	KPI45	14	0.950179153779742
615	KPI46	14	439.0
616	KPI01	15	0.9591836734693877
617	KPI02	15	0.9767441860465116
618	KPI03	15	0.9811320754716981
619	KPI47	15	0.5882352941176471
620	KPI48	15	17792.0
621	KPI04	15	99706.0
622	KPI05	15	27647.0
623	KPI06	15	1.13
624	KPI08	15	0.0
625	KPI09	15	6930.0
626	KPI10	15	0.92
627	KPI11	15	5.0
628	KPI12	15	0.9861448711716091
629	KPI13	15	0.7612162162162163
630	KPI15	15	0.0
631	KPI16	15	0.73
632	KPI17	15	2053.0
633	KPI18	15	18772.0
634	KPI19	15	0.91
635	KPI20	15	1.08
636	KPI21	15	0.9728537449114778
637	KPI22	15	0.95
638	KPI25	15	1846.0
639	KPI26	15	1.0
640	KPI27	15	1.0
641	KPI28	15	0.9873312760747767
642	KPI29	15	171.0
643	KPI30	15	409.0
644	KPI31	15	5636.0
645	KPI32	15	0.9624711180270665
646	KPI33	15	0.5475
647	KPI34	15	1.0
648	KPI35	15	193.0
649	KPI36	15	143.0
650	KPI37	15	0.9863013698630136
651	KPI38	15	0.24592592592592594
652	KPI39	15	0.9833333333333334
653	KPI40	15	0.876360544217687
654	KPI41	15	1.0
655	KPI42	15	0.6084529366798627
656	KPI43	15	1.0
657	KPI44	15	77.0
658	KPI45	15	0.9185328140179408
659	KPI46	15	254.0
660	KPI01	16	0.9736842105263158
661	KPI02	16	1.0
662	KPI03	16	1.0
663	KPI47	16	0.9444444444444444
664	KPI48	16	13471.0
665	KPI04	16	109101.0
666	KPI05	16	23156.0
667	KPI06	16	1.07
668	KPI08	16	0.0
669	KPI09	16	6155.0
670	KPI10	16	0.66
671	KPI11	16	6.0
672	KPI12	16	0.9998375304630381
673	KPI13	16	0.9462138446538837
674	KPI15	16	0.8076923076923077
675	KPI16	16	1.34
676	KPI17	16	4644.0
677	KPI18	16	17890.0
678	KPI19	16	0.9
679	KPI20	16	0.99
680	KPI21	16	0.7758341267149844
681	KPI22	16	0.1875
682	KPI25	16	5548.0
683	KPI26	16	283.0
684	KPI27	16	1.0
685	KPI28	16	0.9918731604434348
686	KPI29	16	573.0
687	KPI30	16	505.0
689	KPI32	16	0.95
690	KPI33	16	0.7715625
691	KPI34	16	0.0
